EU Size,UK Size,US Size,KR Size,JP Size,Foot Length (mm),Ball Girth Width (mm)
38.0,4.0,5.0,230.0,22.5,238.4,229.0
38.5,4.5,5.5,235.0,23.0,241.7,231.3
39.0,5.0,6.0,240.0,23.5,245.0,233.5
39.5,5.5,6.5,245.0,24.0,248.4,235.8
40.0,6.0,7.0,250.0,24.5,251.7,238.0
40.5,6.5,7.5,255.0,25.0,255.0,240.3
41.0,7.0,8.0,260.0,25.5,258.3,242.5
41.5,7.5,8.5,265.0,26.0,261.7,244.8
42.0,8.0,9.0,270.0,26.5,265.0,247.0
42.5,8.5,9.5,275.0,27.0,268.3,249.3
43.0,9.0,10.0,280.0,27.5,271.7,251.5
43.5,9.5,10.5,285.0,28.0,275.0,253.8
44.0,10.0,11.0,290.0,28.5,278.3,256.0
44.5,10.5,11.5,295.0,29.0,281.7,258.3
45.0,11.0,12.0,300.0,29.5,285.0,260.5
45.5,11.5,12.5,305.0,30.0,288.3,262.8
46.0,12.0,13.0,310.0,30.5,291.6,265.0
46.5,12.5,13.5,315.0,31.0,295.0,267.3
47.0,13.0,14.0,320.0,31.5,298.3,269.5
47.5,13.5,14.5,325.0,32.0,301.6,271.8
48.0,14.0,15.0,330.0,32.5,305.0,274.0
48.5,14.5,15.5,335.0,33.0,308.3,276.3
49.0,15.0,16.0,340.0,33.5,311.6,278.5
49.5,15.5,16.5,345.0,34.0,315.0,280.8
,,,,,318.3,283.0
